
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001162                       # Number of seconds simulated (Second)
simTicks                                   1162157000                       # Number of ticks simulated (Tick)
finalTick                                  1162157000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     11.77                       # Real time elapsed on the host (Second)
hostTickRate                                 98736147                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1225244                       # Number of bytes of host memory used (Byte)
simInsts                                      2849860                       # Number of instructions simulated (Count)
simOps                                        5296197                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   242121                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     449958                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          2324315                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         5696466                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6130                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        5587029                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5446                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               406393                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            691094                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  58                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2195494                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.544771                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.488732                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    772629     35.19%     35.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    203163      9.25%     44.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    217487      9.91%     54.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    238009     10.84%     65.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    192181      8.75%     73.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    190338      8.67%     82.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    212646      9.69%     92.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    113753      5.18%     97.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     55288      2.52%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2195494                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   72528     64.20%     64.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     64.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     64.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     64.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     64.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     64.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     64.20% # attempts to use FU when none available (Count)
