
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001990                       # Number of seconds simulated (Second)
simTicks                                   1990043500                       # Number of ticks simulated (Tick)
finalTick                                  1990043500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     12.24                       # Real time elapsed on the host (Second)
hostTickRate                                162624886                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1227292                       # Number of bytes of host memory used (Byte)
simInsts                                      2849860                       # Number of instructions simulated (Count)
simOps                                        5296197                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   232886                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     432796                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          3980088                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         5695709                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6143                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        5594388                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2153                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               405649                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            688012                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  71                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3751287                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.491325                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.148050                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2112778     56.32%     56.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    352321      9.39%     65.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    329909      8.79%     74.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    240085      6.40%     80.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    207703      5.54%     86.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    184740      4.92%     91.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    197644      5.27%     96.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     87238      2.33%     98.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     38869      1.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3751287                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   51764     78.19%     78.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     78.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     78.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     78.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     78.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     78.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     78.19% # attempts to use FU when none available (Count)
