
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001158                       # Number of seconds simulated (Second)
simTicks                                   1158292000                       # Number of ticks simulated (Tick)
finalTick                                  1158292000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     12.58                       # Real time elapsed on the host (Second)
hostTickRate                                 92073074                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1226276                       # Number of bytes of host memory used (Byte)
simInsts                                      2849860                       # Number of instructions simulated (Count)
simOps                                        5296197                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   226533                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     420990                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          2316585                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         5691470                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6130                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        5590005                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3520                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               401397                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            675358                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  58                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2189264                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.553372                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.495939                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    766076     34.99%     34.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    201649      9.21%     44.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    227048     10.37%     54.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    234175     10.70%     65.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    188524      8.61%     73.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    184480      8.43%     82.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    213460      9.75%     92.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    116337      5.31%     97.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     57515      2.63%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2189264                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   72890     64.25%     64.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     64.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     64.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     64.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     64.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     64.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     64.25% # attempts to use FU when none available (Count)
